60081; 199; 10; -945
60091; 211; 0; -958
60101; 235; -4; -967
60111; 240; -2; -974
60121; 256; -11; -979
60131; 261; 1; -974
60141; 267; 0; -965
60151; 276; -12; -975
60161; 272; -11; -971
60171; 268; -4; -972
60181; 268; 1; -980
60191; 261; 3; -966
60201; 261; -1; -969
60211; 254; 8; -954
60221; 252; 0; -963
60231; 267; -6; -971
60241; 275; -7; -966
60251; 276; -15; -965
60261; 264; -14; -959
60271; 259; 0; -937
60281; 261; -10; -965
60291; 265; -9; -965
60301; 264; 0; -968
60311; 256; -6; -965
60321; 250; 7; -955
60331; 250; 5; -954
60341; 257; 0; -953
60351; 258; -1; -954
60361; 250; -6; -957
60371; 255; -4; -962
60381; 259; 0; -961
60391; 260; -9; -961
60401; 248; -8; -946
60411; 251; -7; -964
60421; 266; -2; -950
60431; 264; -5; -976
60441; 263; -8; -968
60451; 254; -12; -957
60461; 249; -2; -953
60471; 254; 5; -957
60481; 251; 0; -949
60491; 258; 1; -958
60501; 254; -6; -961
60511; 257; -3; -967
60521; 260; -2; -966
60531; 259; -2; -973
60541; 256; 4; -962
60551; 257; 3; -947
60561; 254; 4; -957
60571; 261; 5; -960
60581; 251; 1; -953
60591; 241; -14; -953
60601; 254; 3; -952
60611; 256; 9; -960
60621; 256; 2; -963
60631; 255; 6; -951
60641; 249; -4; -958
60651; 258; -9; -957
60661; 258; -13; -965
60671; 260; -4; -962
60681; 257; -6; -972
60691; 249; 11; -945
60701; 237; 7; -926
60711; 237; 9; -941
60721; 246; 5; -946
60731; 250; -6; -962
60741; 257; -3; -961
60751; 263; -9; -963
60761; 262; -2; -952
60771; 257; 3; -953
60781; 260; 0; -943
60791; 251; 1; -944
60801; 263; -3; -948
60811; 265; -3; -958
60821; 266; -4; -950
60831; 270; 0; -945
60841; 268; 0; -933
60851; 271; 4; -927
60861; 280; -1; -949
60871; 292; -8; -958
60881; 299; 0; -954
60891; 305; 2; -951
60901; 301; 9; -923
60911; 291; 12; -911
60921; 300; 8; -921
60931; 320; 3; -940
60941; 335; -3; -956
60951; 341; -4; -943
60961; 338; 2; -920
60971; 345; 9; -921
60981; 354; 5; -927
60991; 364; 5; -937
61001; 371; 4; -933
61011; 366; 4; -915
61021; 364; 12; -915
61031; 375; 11; -917
61041; 375; 12; -923
61051; 379; 6; -916
61061; 386; 5; -918
61071; 397; 11; -911
61081; 394; 11; -909
61091; 409; 16; -909
61101; 420; 10; -912
61111; 429; 6; -916
61121; 434; 9; -911
61131; 438; 13; -909
61141; 436; 18; -902
61151; 434; 12; -898
61161; 440; 14; -899
61171; 444; 7; -900
61181; 455; 7; -906
61191; 457; 14; -907
61201; 459; 15; -896
61211; 463; 17; -895
